TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3B8512E5E050640A29034DA5,2913,DIKLAT FUNGSIONAL PRANATA LABORATORIUM KEMETROLOGIAN,,,,,,
8B91B70E3BBF12E5E050640A29034DA5,2971,DIKLAT FUNGSIONAL PRANATA LABORATORIUM KESEHATAN,,,,,,
8B91B70E3BAA12E5E050640A29034DA5,2950,DIKLAT FUNGSIONAL PRANATA LABORATORIUM PENDIDIKAN,,,,,,
8B91B70E3C0112E5E050640A29034DA5,3037,DIKLAT FUNGSIONAL PRANATA NUKLIR,,,,,,
8B91B70E3BE812E5E050640A29034DA5,3012,DIKLAT FUNGSIONAL PRANATA SIARAN,,,,,,
8B91B70E3BC012E5E050640A29034DA5,2972,DIKLAT FUNGSIONAL PSIKOLOG KLINIS,,,,,,
8B91B70E3BF812E5E050640A29034DA5,3028,DIKLAT FUNGSIONAL PUSTAKAWAN,,,,,,
8B91B70E3BC112E5E050640A29034DA5,2973,DIKLAT FUNGSIONAL RADIOGRAFER,,,,,,
8B91B70E3BC212E5E050640A29034DA5,2974,DIKLAT FUNGSIONAL REFRAKSIONIS OPTISIEN,,,,,,
8B91B70E3C0A12E5E050640A29034DA5,3046,DIKLAT FUNGSIONAL RESCUER,,,,,,
8B91B70E3BF212E5E050640A29034DA5,3022,DIKLAT FUNGSIONAL SANDIMAN,,,,,,
8B91B70E3BC312E5E050640A29034DA5,2975,DIKLAT FUNGSIONAL SANITARIAN,,,,,,
